Date,"Austin, TX","San Jose, CA","Buffalo, NY","Dallas, TX","Los Angeles, CA","San Francisco, CA","Fresno, CA","Portland, OR","Salt Lake City, UT","Charleston, SC","Toronto, ON"
2010-01-01,225700,338000,48600,108900,285000,512000,156400,256700,229700,210000,440000
2010-02-01,226000,345000,48800,109400,274000,525000,156600,256900,230300,209600,446900
2010-03-01,226000,342000,49000,109200,283000,530000,156500,256100,228600,209400,452800
2010-04-01,225600,348000,49400,107900,284000,508000,155800,254800,224000,208600,455900
2010-05-01,225000,350000,50100,107200,283000,525000,155000,253700,219800,207000,455500
2010-06-01,224300,344000,50600,107000,279000,535000,154300,252300,217800,206300,453100
2010-07-01,223500,346000,50700,106500,277000,536000,153400,249800,216000,204600,450400
2010-08-01,222700,346000,50400,106200,277000,522000,152000,247100,214600,202500,449000
2010-09-01,221900,340000,50100,106200,274000,515000,150000,243900,213300,201500,449000
2010-10-01,220900,334000,49700,105900,272000,520000,148300,240900,211600,201800,449300
2010-11-01,220300,332000,49100,105300,270000,512000,147200,239100,209900,201600,451700
2010-12-01,219600,324000,48800,104700,262000,499000,146200,238400,207700,199600,453800
2011-01-01,218500,317000,48700,104200,259000,495000,144400,236700,204300,196600,458300
2011-02-01,217200,324000,48400,103500,262000,477000,142300,234100,201300,194100,465500
2011-03-01,216700,325000,47900,102800,262000,488000,140600,231500,199900,193300,471700
2011-04-01,216700,327000,47300,102100,261000,491000,138800,229700,199000,193600,477600
2011-05-01,216900,330000,46600,101600,263000,485000,136600,228400,198600,193600,482100
2011-06-01,216800,331000,45800,101200,264000,481000,134800,228300,198900,192200,482800
2011-07-01,216200,329000,45100,100700,263000,461000,133400,229500,199500,191900,485200
2011-08-01,215500,323000,45000,100200,261000,456000,132000,230800,199500,192300,487200
2011-09-01,215300,319000,45400,99700,256000,476000,131000,231800,199300,191800,488600
2011-10-01,215700,316000,45900,99400,253000,476000,130500,232200,199100,190900,490300
2011-11-01,216300,312000,45900,99100,250000,464000,129800,231300,199400,190600,492400
2011-12-01,217700,307000,45700,99000,245000,463000,129200,230100,200200,189800,495500
2012-01-01,219200,307000,45800,99000,245000,455000,129000,229500,200600,189100,497600
2012-02-01,220200,308000,46200,98700,246000,460000,128900,230500,200400,189600,505800
2012-03-01,220700,310000,46400,98400,247000,478000,129000,233200,201200,190600,515100
2012-04-01,221500,319000,46400,98600,251000,499000,129400,235600,203900,191400,522400
2012-05-01,222100,322000,46700,99000,256000,500000,130600,236800,205900,192400,526900
2012-06-01,222800,333000,47300,99200,265000,513000,132200,238200,205600,193700,527900
2012-07-01,224200,344000,47800,99100,267000,498000,133400,239700,204900,194800,526200
2012-08-01,226100,344000,48000,98800,270000,489000,134400,241400,205500,195500,524800
2012-09-01,227600,346000,47800,98500,271000,514000,135700,242900,206300,195900,524800
2012-10-01,228700,350000,47600,98600,272000,526000,137200,244100,207600,195800,523800
2012-11-01,229900,352000,47400,98500,274000,548000,138700,245000,209100,195900,523100
2012-12-01,231100,349000,47100,98600,275000,534000,140200,246600,211000,197100,521300
2013-01-01,232300,350000,46800,98500,283000,535000,141500,248400,213100,198700,521700
2013-02-01,233600,371000,46600,98600,283000,560000,142400,250400,215200,199700,525500
2013-03-01,234800,389000,46600,99200,298000,586000,143900,252800,217000,200400,533400
2013-04-01,235900,407000,47000,100000,315000,586000,146100,256400,218900,201500,540300
2013-05-01,237200,412000,47700,100600,324000,575000,148400,260200,221000,203300,544800
2013-06-01,239000,416000,47900,101500,335000,555000,150400,263300,223200,205800,547900
2013-07-01,240800,416000,47700,102600,339000,566000,152600,265800,225300,208400,547900
2013-08-01,242600,413000,47800,103600,340000,555000,155100,268100,227200,211200,548600
2013-09-01,244700,412000,48100,104400,344000,570000,157200,270100,229000,213600,550600
2013-10-01,246600,410000,48600,105000,343000,591000,159200,272300,229900,215800,552400
2013-11-01,248000,412000,49600,105700,345000,590000,161200,275100,229800,217200,556500
2013-12-01,248900,411000,50800,106500,343000,605000,162700,276500,229800,218300,558200
2014-01-01,249900,409000,51400,107400,345000,583000,163900,277400,231300,219600,562700
2014-02-01,250900,428000,51600,107900,349000,597000,165900,279500,233000,220400,569600
2014-03-01,251900,439000,51900,108300,348000,624000,168400,282100,233800,220300,577500
2014-04-01,253500,443000,52000,108900,357000,620000,170100,283900,234100,219900,583700
2014-05-01,255400,451000,52000,109200,366000,632000,171400,285500,234600,219400,589600
2014-06-01,257400,453000,52300,109000,369000,643000,172200,287800,235800,219300,595100
2014-07-01,260000,451000,52800,109400,370000,637000,172500,290600,238000,220000,596800
2014-08-01,262900,444000,53300,110500,368000,618000,173300,293300,240200,220400,596100
2014-09-01,265400,443000,53400,111300,368000,637000,173700,295900,241700,220300,597500
2014-10-01,267200,442000,53100,112100,371000,637000,173900,299100,242900,220300,601600
2014-11-01,268900,441000,53100,113100,372000,622000,174500,302300,243900,220400,604000
2014-12-01,270800,440000,53300,114100,365000,623000,175500,304500,244100,221000,606100
2015-01-01,272600,452000,53700,115000,357000,636000,176200,307000,244100,221600,608900
2015-02-01,274600,459000,54100,115600,370000,670000,176700,310000,244200,221800,618900
2015-03-01,277400,467000,54600,116400,380000,697000,177300,312800,245800,222200,628900
2015-04-01,280400,477000,54900,117100,390000,700000,178600,316000,248600,223400,639900
2015-05-01,283600,483000,55100,117900,397000,716000,180400,320400,251300,225000,648500
2015-06-01,286500,488000,55300,118700,404000,709000,182100,324600,252800,226000,656100
2015-07-01,289000,494000,55400,119800,403000,699000,183500,328800,254500,226300,660600
2015-08-01,291200,492000,55600,120600,405000,675000,184500,333700,256900,226500,663300
2015-09-01,293000,492000,56100,121500,407000,703000,185400,339400,259500,227600,667400
2015-10-01,294100,494000,56700,122300,412000,732000,186700,345300,262100,228700,670900
2015-11-01,295100,493000,57300,123300,410000,729000,187800,351300,264900,229600,674000
2015-12-01,296400,491000,58000,124100,411000,726000,188400,356900,267900,231000,677100
2016-01-01,297700,494000,58200,124600,418000,724000,189100,360700,270400,233200,681900
2016-02-01,299400,512000,58300,125300,427000,747000,190100,363200,272600,235800,694700
2016-03-01,301800,526000,58900,126700,428000,780000,191000,367100,274800,238800,711900
2016-04-01,304600,534000,59600,128600,436000,784000,192400,373600,278000,242300,732200
2016-05-01,307200,537000,59900,130900,442000,783000,193900,381000,281500,245700,760800
2016-06-01,309600,534000,60100,133600,448000,788000,194600,387700,285400,249300,776700
2016-07-01,312100,534000,60800,136700,448000,779000,195200,392600,289100,252700,786000
2016-08-01,314500,537000,61500,139600,445000,788000,196700,395200,292200,255800,794600
2016-09-01,317000,536000,61800,142400,448000,810000,198700,397600,295800,258700,803600
2016-10-01,319700,529000,62100,145300,450000,799000,200200,400800,300400,262000,819100
2016-11-01,321800,520000,62600,148200,451000,799000,201700,405500,304000,266000,824600
2016-12-01,323200,509000,63400,150800,448000,805000,203700,410900,306800,269900,833200
2017-01-01,324500,512000,64300,153300,456000,827000,206000,415800,309500,273800,848400
2017-02-01,326300,533000,65100,156000,461000,838000,208200,418200,311600,277400,876300
2017-03-01,328000,550000,65700,159600,466000,851000,210000,419100,312800,279800,929700
2017-04-01,329600,548000,66300,163400,474000,862000,211400,419900,314400,281200,970000
2017-05-01,332000,558000,66600,166500,477000,851000,212800,421100,316400,283000,974800
2017-06-01,334800,565000,67400,168700,478000,840000,214400,421400,318900,284700,962400
2017-07-01,336800,561000,68500,170600,478000,811000,216400,420900,321800,286200,903500
2017-08-01,337500,571000,69900,172600,474000,799000,218500,420900,324900,287900,878300
2017-09-01,337800,572000,71500,175000,476000,836000,220200,420300,327600,290500,872500
2017-10-01,339600,584000,73100,177000,480000,861000,221000,419500,329800,293100,865900
